theta,eoc
0.0,23053.892215568863
0.01,23053.892215568863
0.02,23053.892215568863
0.03,23053.892215568863
0.04,23053.892215568863
0.05,23053.892215568863
0.06,22757.48502994012
0.07,22766.467065868263
0.08,19209.580838323353
0.09,18913.17365269461
0.1,16245.508982035928
0.11,12994.011976047905
0.12,12697.604790419162
0.13,12697.604790419162
0.14,12104.790419161676
0.15,12104.790419161676
0.16,12104.790419161676
0.17,12104.790419161676
0.18,11511.976047904192
0.19,11511.976047904192
0.2,11529.940119760478
0.21,10937.125748502995
0.22,10640.718562874252
0.23,10640.718562874252
0.24,10649.700598802396
0.25,10056.88622754491
0.26,8871.25748502994
0.27,8574.850299401198
0.28,8583.832335329342
0.29,8296.407185628743
0.3,8008.982035928144
0.31,8053.892215568862
0.32,7757.48502994012
0.33,7461.077844311377
0.34,7461.077844311377
0.35000000000000003,7461.077844311377
0.36,7173.652694610779
0.37,6877.245508982036
0.38,6877.245508982036
0.39,6877.245508982036
0.4,6877.245508982036
0.41000000000000003,6877.245508982036
0.42,6886.22754491018
0.43,6589.820359281437
0.44,6005.988023952096
0.45,6005.988023952096
0.46,6005.988023952096
0.47000000000000003,6005.988023952096
0.48,6023.952095808383
0.49,6032.934131736527
0.5,5736.526946107784
0.51,5458.083832335329
0.52,5467.065868263473
0.53,5467.065868263473
0.54,5170.65868263473
0.55,5170.65868263473
0.56,4577.8443113772455
0.5700000000000001,4586.826347305389
0.58,4586.826347305389
0.59,4290.419161676647
0.6,4308.383233532934
0.61,4020.9580838323354
0.62,3437.125748502994
0.63,3473.053892215569
0.64,3176.6467065868264
0.65,3185.62874251497
0.66,3194.6107784431138
0.67,3194.6107784431138
0.68,3203.5928143712576
0.6900000000000001,2619.7604790419164
0.7000000000000001,2655.688622754491
0.71,2664.670658682635
0.72,1775.4491017964071
0.73,1793.4131736526947
0.74,1793.4131736526947
0.75,1505.9880239520958
0.76,1514.9700598802394
0.77,1532.934131736527
0.78,1541.9161676646706
0.79,1272.4550898203593
0.8,1272.4550898203593
0.81,1281.437125748503
0.8200000000000001,994.0119760479042
0.8300000000000001,994.0119760479042
0.84,994.0119760479042
0.85,994.0119760479042
0.86,994.0119760479042
0.87,994.0119760479042
0.88,697.6047904191616
0.89,697.6047904191616
0.9,697.6047904191616
0.91,697.6047904191616
0.92,886.2275449101796
0.93,967.065868263473
0.9400000000000001,1038.9221556886228
0.9500000000000001,1038.9221556886228
0.96,1038.9221556886228
0.97,1038.9221556886228
0.98,1038.9221556886228
0.99,1038.9221556886228
1.0,1038.9221556886228
