feature,importance,se
n_steps,-0.0023183479532163714,0.0072855050891150516
n_tool_calls,0.0022686403508772007,0.0023265116042385267
mcp_error_ratio,0.03199409983291562,0.020238387205323862
mcp_error_count,0.0020977443609022663,0.02841409936860272
loop_ratio,-0.01255607769423559,0.0059597808244056345
n_unique_actions,-0.01586152882205514,0.00848381884190202
reached_finish,-0.0030045948203842945,0.001342696553684474
obs_mean_clean,-0.010428623642439423,0.005243089371823243
obs_max_clean,0.017301221804511276,0.016776491848837522
n_obs_clean,-0.004933845029239763,0.007244244442084907
early_entropy,0.007001696950710119,0.016058284286742316
logprob_variance,0.013223631996658316,0.010084451240802622
verbalized_score,0.0009126984126984095,0.0008163422774999204
