scenario,model,early_entropy,logprob_variance,mean_logprob,verbalized_final,confidence_gradient,n_steps,n_tool_calls,mcp_error_ratio,mcp_error_count,loop_ratio,n_unique_actions,reached_finish,obs_mean_len,obs_max_len,n_observations,usable_token,usable_verbalized,usable_structural,usable_mcp_error,usable_observation,y,verbalized_posthoc
engine_health_combined_001,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.051617178216734956,0.009498855953114983,-0.02227935769366186,,,8.0,8.0,,,0.5,2.0,0.0,105.0,333.0,8.0,True,False,True,False,True,1,0.0
engine_health_combined_002,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.09072956881273188,0.03882936365182556,-0.08685940770602579,,,3.0,2.0,,,0.0,3.0,1.0,313.5,554.0,2.0,True,False,True,False,True,1,0.6
engine_health_combined_003,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0183375658393473,0.004824630582841391,-0.010673486119646991,,,8.0,8.0,,,0.5,1.0,0.0,130.625,554.0,8.0,True,False,True,False,True,1,0.0
engine_health_combined_004,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0249669818679158,0.011597982584977365,-0.027634009255966197,,,6.0,5.0,,,0.0,3.0,1.0,240.8,561.0,5.0,True,False,True,False,True,1,0.6
engine_health_combined_005,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.030505447418172568,0.007786519969979453,-0.016530047036967706,,,8.0,8.0,,,0.5,2.0,0.0,163.625,556.0,8.0,True,False,True,False,True,1,0.0
engine_health_combined_006,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.051725586377375565,0.02855384166972549,-0.06150995354130872,,,4.0,3.0,,,0.0,2.0,1.0,167.0,321.0,3.0,True,False,True,False,True,1,0.6
engine_health_combined_007,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.026256188641471338,0.006257205453236468,-0.014013933653612816,,,8.0,8.0,,,0.25,1.0,0.0,130.875,555.0,8.0,True,False,True,False,True,1,0.4
engine_health_combined_008,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.04045255182551439,0.005739667395418312,-0.011368221307244434,,,8.0,8.0,,,0.875,4.0,0.0,423.25,471.0,8.0,True,False,True,False,True,1,0.8
engine_health_combined_009,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03433937852648684,0.014050922010322452,-0.02943083893638128,,,8.0,8.0,,,0.375,1.0,0.0,198.5,333.0,8.0,True,False,True,False,True,1,0.0
engine_health_combined_010,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06698120905541491,0.02278536827733527,-0.04351085531401257,,,8.0,8.0,,,0.75,1.0,0.0,133.5,333.0,8.0,True,False,True,False,True,1,0.0
engine_health_combined_011,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.028425301920735287,0.006910601092082551,-0.014997545668560064,,,8.0,8.0,,,0.625,1.0,0.0,130.875,556.0,8.0,True,False,True,False,True,1,0.0
engine_health_combined_012,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.024827932372019964,0.01111219577106904,-0.023921401869332788,,,8.0,8.0,,,0.5,1.0,0.0,105.5,333.0,8.0,True,False,True,False,True,1,0.0
engine_health_combined_013,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06560346564829259,0.016995112288976537,-0.034235701665588036,,,8.0,8.0,,,0.625,1.0,0.0,162.0,333.0,8.0,True,False,True,False,True,0,0.0
engine_health_combined_014,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07334066579587431,0.015537565998183997,-0.030622356594083213,,,8.0,8.0,,,0.625,1.0,0.0,105.5,333.0,8.0,True,False,True,False,True,0,0.4
engine_health_combined_015,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03724722297923834,0.01382364398020894,-0.030996621229258597,,,8.0,8.0,,,0.375,1.0,0.0,105.5,333.0,8.0,True,False,True,False,True,0,0.0
engine_health_combined_016,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0642246997593646,0.034068340430149974,-0.07420605022980303,,,4.0,3.0,,,0.0,2.0,1.0,171.66666666666666,333.0,3.0,True,False,True,False,True,0,0.6
engine_health_combined_017,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06602044870600107,0.022442282226449013,-0.04895144449533723,,,8.0,8.0,,,0.125,2.0,0.0,174.875,555.0,8.0,True,False,True,False,True,1,0.4
engine_health_combined_018,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0636282457645289,0.027330524012437806,-0.0650759293825856,,,3.0,2.0,,,0.0,3.0,1.0,441.0,551.0,2.0,True,False,True,False,True,0,0.8
engine_health_combined_019,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03140886629524168,0.017271041585764892,-0.04039980831213716,,,3.0,2.0,,,0.0,2.0,1.0,219.0,331.0,2.0,True,False,True,False,True,0,0.6
engine_health_combined_020,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0702816929204043,0.020083091951546977,-0.043290626581296496,,,8.0,8.0,,,0.0,3.0,0.0,144.875,333.0,8.0,True,False,True,False,True,1,0.4
