model,family,n,auroc,lo,hi,p,significant
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,token,45,0.7757201646090535,0.6099978448275862,0.9209512169752444,0.001999000499750125,True
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,structural,45,0.6481481481481481,0.46752105263157895,0.7975895621406456,0.053973013493253376,False
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,observation,45,0.6635802469135803,0.4933271889400922,0.8172415626169495,0.02848575712143928,False
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,verbalized_posthoc,45,0.4938271604938272,0.3017241379310345,0.6781980994152044,0.5347326336831584,False
openai_Qwen_Qwen2.5-7B-Instruct-Turbo,all measured,45,0.7921810699588477,0.6441964285714286,0.9067460317460317,0.0014992503748125937,True
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,token,45,0.5387931034482758,0.37182671455679045,0.716,0.3308345827086457,False
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,structural,45,0.5474137931034483,0.37064701272358475,0.7273955570291776,0.3118440779610195,False
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,observation,45,0.5894396551724138,0.42011645175311507,0.7586455570291777,0.15592203898050974,False
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,verbalized_posthoc,45,0.23922413793103453,0.10483192462779158,0.39142141460689844,0.9995002498750625,False
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,all measured,45,0.7047413793103449,0.5377856961750217,0.860033613445378,0.010494752623688156,False
openai_openai_gpt-oss-120b,token,45,0.7457983193277311,0.5748379703787673,0.8849567099567097,0.0024987506246876563,True
openai_openai_gpt-oss-120b,structural,45,0.4411764705882353,0.25560587892144154,0.6265546296296296,0.7706146926536732,False
openai_openai_gpt-oss-120b,observation,45,0.31197478991596633,0.1578326932923707,0.47111111111111115,0.9845077461269365,False
openai_openai_gpt-oss-120b,verbalized_posthoc,45,0.4432773109243697,0.2751971158833904,0.621679551267147,0.7756121939030485,False
openai_openai_gpt-oss-120b,all measured,45,0.504201680672269,0.32221666666666665,0.6700590210093132,0.4912543728135932,False
