stratum,family,n,auroc,lo,hi,p,significant
computed outcome,token,135,0.5674603174603174,0.46410002026437214,0.6599663252244103,0.10144927536231885,False
computed outcome,structural,135,0.5235760971055089,0.42551231395520184,0.6246493294287412,0.328335832083958,False
computed outcome,observation,135,0.6163632119514473,0.5239421227315012,0.7104653252229566,0.0069965017491254375,False
computed outcome,verbalized_posthoc,135,0.4213352007469655,0.3186939033756227,0.5267965384316833,0.935032483758121,False
computed outcome,all measured,135,0.6029411764705882,0.5036131066203889,0.6920147360019276,0.029985007496251874,False
fabricated outcome,token,90,0.519163763066202,0.4017790735849981,0.6460966453086616,0.37881059470264866,False
fabricated outcome,structural,90,0.4415131906421105,0.321705995028047,0.5637379729879378,0.8260869565217391,False
fabricated outcome,observation,90,0.5607267297162768,0.43549535103643167,0.682359947414127,0.1519240379810095,False
fabricated outcome,verbalized_posthoc,90,0.5766550522648084,0.46063194444444444,0.6962457876023462,0.11644177911044477,False
fabricated outcome,all measured,90,0.5271279243404678,0.3945626844063262,0.6530723562152134,0.32733633183408295,False
