model,scenario,verbalized_posthoc
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_001,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_002,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_003,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_004,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_005,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_006,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_007,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_008,0.8
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_009,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_010,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_011,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_012,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_013,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_014,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_015,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_016,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_017,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_018,0.8
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_019,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_020,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_021,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_022,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_023,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_024,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_025,0.4
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_026,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_027,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_028,0.6
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_029,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,engine_health_combined_030,0.0
openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,pdm_cost_benefit_001,0.0
