framework,model,n_scenarios,overall_pass1,RUL,Fault,Health,Cost,Safety,avg_steps,avg_total_tokens,avg_time_s
react,meta-llama/llama-4-maverick-17b-128e-instruct-fp8,25,0.8,0.6,1.0,0.8,0.5,1.0,7.68,33017,42.0
react,mistralai/mistral-medium-2505,25,0.64,0,0.4,0.9,1.0,1.0,8.04,37259,48.96
react,openai/gpt-oss-120b,25,0.56,0,1.0,0.5,0.5,1.0,7.64,35157,25.68
react,ibm/granite-4-h-small,25,0.44,0.2,0.4,0.6,0.5,0.3333,7.68,31947,37.4
react,mistralai/mistral-small-3-1-24b-instruct-2503,25,0.44,0.4,0.6,0.3,0.5,0.6667,8.24,42161,46.99
react,meta-llama/llama-3-3-70b-instruct,25,0.36,0.2,0.2,0.2,1.0,1.0,6.08,24635,312.18
reactxen,openai/gpt-oss-120b,25,0.68,0.2,1.0,0.9,0.5,0.3333,6.6,30970,74.18
reactxen,meta-llama/llama-4-maverick-17b-128e-instruct-fp8,25,0.64,0.2,1.0,0.6,0.5,1.0,7.64,33008,113.44
reactxen,meta-llama/llama-3-3-70b-instruct,2,0.5,0.5,,,,,8.5,41104,425.62
reactxen,ibm/granite-4-h-small,25,0.48,0.2,0,0.6,1.0,1.0,6.48,28548,101.37
reactxen,mistralai/mistral-medium-2505,25,0.48,0.2,0.4,0.5,1.0,0.6667,7.56,36840,134.07
reactxen,mistralai/mistral-small-3-1-24b-instruct-2503,25,0.48,0.4,0.4,0.3,1.0,1.0,8.36,46031,138.53
